,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,DELIVERED_DATE,delivered_in_days,Dispatch_month,Dispatch_weak,Loading_month,Loading_weak
194,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-13,2021-07-05,2021-08-04,2021-08-10,2021-08-14,2021-08-16,64,6,6,7,0
211,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-18,2021-07-16,2021-07-13,2021-08-02,2021-07-20,63,5,1,5,1
215,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-29,2021-05-29,2021-07-19,2021-07-16,2021-08-05,2021-07-23,55,5,5,5,5
238,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-07-07,2021-08-03,2021-09-05,1900-01-01,2021-09-08,2021-09-10,65,7,2,8,1
257,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-18,2021-06-18,2021-08-01,2021-08-09,2021-08-09,2021-08-10,53,6,4,6,4
271,"Dallas, Texas, United States","Los Angeles, California, United States","Port Muhammad Bin Qasim, Sindh, Pakistan","Port Muhammad Bin Qasim, Sindh, Pakistan",2021-06-03,2021-06-27,2021-08-14,2021-08-14,2021-08-31,2021-06-01,2,6,3,6,6
273,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-30,2021-05-31,2021-07-26,2021-07-22,2021-07-26,2021-08-02,64,5,6,5,0
277,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-29,2021-05-30,2021-07-08,2021-07-24,2021-07-28,2021-07-28,60,5,5,5,6
280,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",2021-07-06,2021-07-20,2021-08-14,2021-08-20,2021-08-24,2021-08-25,50,7,1,7,1
284,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Los Angeles, California, United States","Long Beach, California, United States",2021-06-21,2021-06-27,2021-08-19,2021-08-25,2021-08-29,2021-08-28,68,6,0,6,6
288,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-08-22,2021-09-04,2021-10-05,1900-01-01,2021-10-08,2021-10-08,47,8,6,9,5
300,"Dallas, Texas, United States","New Orleans, Louisiana, United States","Buenos Aires, Ciudad Autonoma de Buenos Aires, Argentina","Buenos Aires, Ciudad Autonoma de Buenos Aires, Argentina",2021-06-15,2021-06-27,2021-07-22,2021-07-22,2021-08-08,2021-06-10,5,6,1,6,6
325,"Thuan An, Tinh Quang Nam, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-07-17,2021-07-28,2021-08-30,2021-09-05,2021-09-09,2021-09-08,53,7,5,7,2
332,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-25,2021-05-02,2021-05-16,2021-06-14,2021-06-18,2021-06-22,58,4,6,5,6
334,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-04-03,2021-04-10,2021-05-08,2021-05-19,2021-05-23,2021-05-25,52,4,5,4,5
335,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-08-30,2021-08-30,2021-10-07,1900-01-01,2021-10-13,2021-10-14,45,8,0,8,0
339,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-02,2021-05-05,2021-05-21,2021-06-18,2021-06-22,2021-06-23,52,5,6,5,2
364,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-21,2021-05-22,2021-06-09,2021-06-24,2021-06-28,2021-07-01,41,5,4,5,5
371,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-07-10,2021-08-03,2021-09-05,1900-01-01,2021-09-10,2021-09-10,62,7,5,8,1
393,"Thuan An, Tinh Quang Nam, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-27,2021-05-28,2021-07-23,2021-07-21,2021-08-09,2021-07-27,61,5,3,5,4
438,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-04-08,2021-04-11,2021-06-03,2021-06-08,2021-06-12,2021-06-08,61,4,3,4,6
440,"Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-23,2021-07-02,2021-08-01,2021-08-19,2021-08-23,2021-08-20,58,6,2,7,4
442,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-18,2021-06-26,2021-07-26,2021-08-01,2021-08-05,2021-08-05,48,6,4,6,5
448,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-30,2021-05-03,2021-05-23,2021-06-16,2021-06-20,2021-06-24,55,4,4,5,0
449,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-31,2021-06-02,2021-07-26,2021-07-24,2021-07-26,2021-07-29,59,5,0,6,2
457,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-14,2021-05-14,2021-06-02,2021-06-12,2021-06-16,2021-06-14,31,5,4,5,4
458,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-04-08,2021-04-11,2021-06-04,2021-06-10,2021-06-14,2021-06-10,63,4,3,4,6
459,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-15,2021-05-23,2021-06-09,2021-06-19,2021-06-23,2021-06-23,39,5,5,5,6
470,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-26,2021-06-28,2021-08-05,2021-07-31,2021-08-22,2021-08-09,44,6,5,6,0
477,"Zhuhai, Guangdong Sheng, China","Zhuhai, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-08,2021-04-08,2021-05-09,2021-06-02,2021-06-06,2021-06-07,60,4,3,4,3
478,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-06,2021-05-08,2021-06-21,2021-06-23,2021-07-08,2021-06-23,48,5,3,5,5
479,"Dallas, Texas, United States","Los Angeles, California, United States","Kaohsiung, Kaohsiung, Taiwan","Kaohsiung, Kaohsiung, Taiwan",2021-08-21,2021-08-21,2021-09-07,2021-07-09,2021-09-24,2021-07-15,37,8,5,8,5
480,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-04-02,2021-04-02,2021-05-19,2021-05-25,2021-05-29,2021-05-25,53,4,4,4,4
482,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-20,2021-07-06,2021-07-24,2021-07-28,2021-07-29,72,5,1,5,3
483,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-07,2021-05-08,2021-06-06,2021-06-15,2021-06-19,2021-06-24,48,5,4,5,5
487,"Di An, Tinh Binh Duong, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-04-23,2021-04-30,2021-05-28,2021-07-06,2021-07-10,2021-07-13,81,4,4,4,4
489,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-18,2021-04-23,2021-05-13,2021-06-02,2021-06-06,2021-06-03,46,4,6,4,4
496,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-10,2021-05-19,2021-07-06,2021-07-03,2021-07-23,2021-07-09,60,5,0,5,2
500,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-18,2021-05-24,2021-06-14,2021-06-25,2021-06-29,2021-07-02,45,5,1,5,0
501,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-16,2021-06-26,2021-07-26,2021-08-02,2021-08-06,2021-08-04,49,6,2,6,5
503,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-04-04,2021-04-09,2021-05-08,2021-05-24,2021-05-28,2021-05-26,52,4,6,4,4
504,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-18,2021-05-24,2021-06-11,2021-07-06,2021-07-10,2021-07-12,55,5,1,5,0
505,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-04-12,2021-04-12,2021-07-06,2021-07-04,2021-07-23,2021-07-09,88,4,0,4,0
507,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-20,2021-06-26,2021-07-12,2021-07-22,2021-07-26,2021-07-29,39,6,6,6,5
511,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-10,2021-07-03,2021-07-23,2021-07-30,2021-08-03,2021-08-03,54,6,3,7,5
512,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-09,2021-05-13,2021-05-28,2021-06-17,2021-06-21,2021-06-22,44,5,6,5,3
514,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-18,2021-07-21,2021-08-07,2021-08-23,2021-08-24,2021-08-25,38,7,6,7,2
516,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-18,2021-05-06,2021-06-04,2021-06-28,2021-07-02,2021-07-07,80,4,6,5,3
519,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-24,2021-05-28,2021-06-25,2021-07-02,2021-07-06,2021-07-12,49,5,0,5,4
522,"Sonipat, State of Haryana, India","Mundra, State of Gujarat, India","Savannah, Georgia, United States","Dallas, Texas, United States",2021-05-15,2021-06-02,2021-07-15,2021-07-19,2021-07-21,2021-08-03,80,5,5,6,2
523,"Zhongshan, Guangdong Sheng, China","Hong Kong, Central and Western District, Hong Kong","Long Beach, California, United States","Dallas, Texas, United States",2021-04-30,2021-05-14,2021-06-05,2021-07-13,2021-07-17,2021-07-15,76,4,4,5,4
524,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-06-02,2021-06-19,2021-07-20,2021-07-14,2021-08-06,2021-07-23,51,6,2,6,5
525,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-24,2021-06-27,2021-08-04,2021-07-29,2021-08-21,2021-08-06,43,6,3,6,6
526,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-03,2021-05-10,2021-06-03,2021-07-14,2021-07-18,2021-07-16,74,5,0,5,0
528,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-09,2021-05-14,2021-05-29,2021-06-21,2021-06-25,2021-06-26,48,5,6,5,4
530,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-17,2021-06-20,2021-08-08,2021-08-18,2021-08-20,2021-08-24,68,6,3,6,6
533,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-06-24,2021-06-24,2021-08-20,2021-08-20,2021-09-06,2021-08-31,68,6,3,6,3
535,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-08,2021-05-08,2021-05-27,2021-06-04,2021-06-08,2021-06-07,30,5,5,5,5
536,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-04-23,2021-04-23,2021-06-17,2021-06-11,2021-07-04,2021-06-21,59,4,4,4,4
541,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-05-30,2021-06-05,2021-07-20,2021-07-14,2021-08-06,2021-07-23,54,5,6,6,5
543,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-13,2021-06-15,2021-07-02,2021-07-14,2021-07-18,2021-07-19,36,6,6,6,1
545,"Thuan An, Tinh Quang Nam, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-06,2021-05-10,2021-06-05,2021-07-06,2021-07-10,2021-07-13,68,5,3,5,0
554,"Thuan An, Tinh Quang Nam, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-03,2021-05-10,2021-06-06,2021-06-21,2021-06-25,2021-06-25,53,5,0,5,0
555,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-21,2021-07-05,2021-08-02,2021-08-09,2021-08-09,2021-08-11,51,6,0,7,0
561,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-31,2021-06-01,2021-07-17,2021-07-15,2021-08-03,2021-07-20,50,5,0,6,1
564,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-21,2021-05-25,2021-06-13,2021-06-24,2021-06-28,2021-06-29,39,5,4,5,1
571,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-08,2021-05-08,2021-05-27,2021-06-04,2021-06-08,2021-06-04,27,5,5,5,5
572,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-03,2021-06-05,2021-07-17,2021-07-15,2021-08-03,2021-07-21,48,6,3,6,5
573,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-10,2021-07-03,2021-07-23,2021-07-28,2021-08-01,2021-08-02,53,6,3,7,5
